pitch_num,pitch_type,pitch_speed(km/h),px,py,result,batter_name,inning
1,FF,141,3.5,1.8,S,柳田悠岐,1
2,FF,143,0.8,3.8,B,柳田悠岐,1
3,FF,144,1.8,2.2,F,柳田悠岐,1
4,SL,139,4.0,1.2,B,柳田悠岐,1
5,SL,137,3.0,2.2,I,柳田悠岐,1
6,FF,144,0.8,4.2,B,今宮健太,1
7,FF,144,1.8,2.1,S,今宮健太,1
8,CH,124,2.8,2.8,S,今宮健太,1
9,FF,145,1.2,2.2,S,今宮健太,1
10,FF,145,2.5,1.3,S,デスパイネ,1
11,FF,144,1.7,1.7,F,デスパイネ,1
12,FF,146,0.6,3.2,B,デスパイネ,1
13,CH,126,1.2,0.5,S,デスパイネ,1
14,FF,143,1.7,3.8,F,内川聖一,2
15,FF,143,1.1,1.8,S,内川聖一,2
16,FF,143,1.8,2.2,F,内川聖一,2
17,FF,142,4.2,2.3,B,内川聖一,2
18,FF,145,2.2,1.1,I,内川聖一,2
19,CU,111,1.8,4.2,B,中村晃,2
20,SL,136,3.1,3.1,I,中村晃,2
21,FF,143,2.2,3.5,S,松田宣浩,2
22,FF,143,3.1,4.2,B,松田宣浩,2
23,FF,146,1.8,3.2,S,松田宣浩,2
24,FF,145,1.3,1.8,HR,松田宣浩,2
25,CU,112,1.2,0.2,B,川島慶三,2
26,SL,136,2.5,3.2,S,川島慶三,2
27,SL,132,1.1,0.7,B,川島慶三,2
28,SL,134,1.1,1.8,S,川島慶三,2
29,FF,145,1.1,2.2,S,川島慶三,2
30,SL,134,0.5,2.8,B,長谷川勇也,3
31,SL,136,2.5,1.6,S,長谷川勇也,3
32,SL,124,3.2,2.1,F,長谷川勇也,3
33,FF,143,1.1,2.6,S,長谷川勇也,3
34,CH,124,1.8,0.3,B,甲斐拓也,3
35,SL,133,1.0,2.1,S,甲斐拓也,3
36,FF,143,1.1,3.1,S,甲斐拓也,3
37,FF,142,3.9,2.8,F,甲斐拓也,3
38,CH,126,3.2,0.1,B,甲斐拓也,3
39,CH,124,1.1,0.5,S,甲斐拓也,3
40,SL,136,3.4,1.8,S,柳田悠岐,3
41,SL,137,4.0,2.2,B,柳田悠岐,3
42,SL,138,3.3,2.2,F,柳田悠岐,3
43,CH,125,3.2,0.5,B,柳田悠岐,3
44,FF,143,4.4,1.2,B,柳田悠岐,3
45,SL,139,1.1,2.7,S,柳田悠岐,3
46,SL,132,1.1,1.6,S,今宮健太,4
47,CH,123,1.6,1.5,I,今宮健太,4
48,CH,124,2.8,1.5,S,デスパイネ,4
49,FF,140,0.8,3.7,B,デスパイネ,4
50,CU,111,1.9,2.0,I,デスパイネ,4
51,FF,139,1.1,1.2,S,内川聖一,4
