日時,曜日,相手,球場,開始,観衆,勝敗,得,失,打数,安打,本塁,盗塁,失策,攻撃,回数,被安,被本,四死球,自責,HA,カ,ナ,サ
3/31,金,オリックス,京セラD大阪,18:30,36154,○,6,4,41,9,2,2,0,11,11    ,10,1,2,4,1,1,1,0
4/1,土,オリックス,京セラD大阪,14:00,26408,○,13,4,37,14,0,0,0,9,9    ,10,0,2,3,1,1,0,2
4/2,日,オリックス,京セラD大阪,13:00,27555,○,5,4,37,11,2,0,2,9,9    ,6,1,8,4,1,1,0,0
4/4,火,ソフトバンク,Koboパーク宮城,16:00,26162,○,7,1,29,7,1,0,0,8,9    ,7,0,4,1,0,2,0,-
4/5,水,ソフトバンク,Koboパーク宮城,13:00,26298,●,4,15,33,6,0,1,1,9,9    ,16,1,8,15,0,2,0,-
4/6,木,ソフトバンク,Koboパーク宮城,13:00,24841,○,3,1,28,7,1,0,1,8,9    ,3,0,7,0,0,2,0,-
4/8,土,ロッテ,ZOZOマリン,14:00,18820,○,7,4,36,10,0,0,0,9,9    ,6,2,3,4,1,3,0,0
4/9,日,ロッテ,ZOZOマリン,13:00,12823,○,4,1,38,12,1,0,0,9,9    ,4,1,3,1,1,3,0,0
4/11,火,西武,郡山,15:30,,中止,,,0,0,0,0,0,0,0    ,0,0,0,0,0,4,0,0
4/12,水,西武,Koboパーク宮城,16:00,20329,●,5,10,38,11,2,1,1,9,9    ,15,2,8,10,0,4,0,-
4/14,金,日本ハム,Koboパーク宮城,18:00,24714,○,3,2,37,13,0,0,0,8,9    ,5,2,6,2,0,5,1,-
4/15,土,日本ハム,Koboパーク宮城,14:00,26856,○,4,2,34,10,2,0,1,8,9    ,6,2,1,2,0,5,0,-
4/16,日,日本ハム,Koboパーク宮城,13:00,27165,○,4,3,38,11,0,0,0,10,10    ,10,2,3,3,0,5,0,-
4/18,火,西武,県営大宮,18:00,15757,○,2,0,33,10,0,0,0,9,9    ,4,0,1,0,1,6,1,0
4/19,水,西武,メットライフ,18:00,11476,●,4,5,45,11,2,0,1,12,11 1/3,11,1,2,4,1,6,1,1
4/21,金,ソフトバンク,ヤフオクドーム,18:00,30142,●,3,4,42,6,2,0,1,12,11 2/3,8,0,10,4,1,7,1,1
4/22,土,ソフトバンク,ヤフオクドーム,18:00,33223,○,11,2,39,15,5,0,0,9,9    ,7,1,2,2,1,7,1,1
4/23,日,ソフトバンク,ヤフオクドーム,13:00,35400,○,2,1,30,6,0,1,0,9,9    ,6,0,6,1,1,7,0,0
4/25,火,ロッテ,東京ドーム,18:00,45211,○,4,2,29,8,1,2,0,8,9    ,4,1,1,2,0,8,1,-
4/26,水,ロッテ,Koboパーク宮城,18:00,22519,○,11,7,34,14,2,1,2,8,9    ,12,0,2,2,0,8,1,-
4/29,土,日本ハム,札幌ドーム,14:00,41138,●,2,3,33,8,0,0,0,9,8 2/3,7,1,2,3,1,9,0,1
4/30,日,日本ハム,札幌ドーム,14:00,31098,○,2,1,32,10,0,1,0,9,9    ,5,0,1,1,1,9,0,0
5/2,火,オリックス,Koboパーク宮城,18:00,26890,●,1,4,30,5,0,0,0,9,9    ,8,2,2,4,0,10,1,-
5/3,水,オリックス,Koboパーク宮城,14:00,27259,○,4,2,29,6,1,0,0,8,9    ,7,1,3,2,0,10,0,-
5/4,木,オリックス,Koboパーク宮城,13:00,27294,○,2,1,25,6,0,0,1,8,9    ,7,0,3,1,0,10,0,-
5/5,金,西武,メットライフ,14:00,32598,●,1,7,30,3,0,0,0,9,8    ,13,1,3,7,1,11,0,0
5/6,土,西武,メットライフ,13:00,29264,○,10,2,39,20,1,0,0,9,9    ,5,2,0,2,1,11,0,0
5/7,日,西武,メットライフ,13:00,29528,○,3,2,27,4,1,0,0,9,9    ,7,2,0,2,1,11,0,0
5/9,火,ロッテ,Koboパーク宮城,13:00,25451,●,4,6,36,10,2,0,0,9,9    ,8,1,5,6,0,12,0,-
5/10,水,ロッテ,Koboパーク宮城,18:00,24628,○,5,0,28,4,1,0,0,8,9    ,5,0,1,0,0,12,1,-
5/11,木,ロッテ,Koboパーク宮城,18:00,26547,○,4,1,27,6,2,0,1,8,9    ,8,1,3,1,0,12,1,-
5/13,土,ソフトバンク,熊本,13:00,12922,●,2,3,32,7,1,1,1,9,8    ,7,0,6,2,1,13,0,0
5/14,日,ソフトバンク,ヤフオクドーム,13:00,38585,○,9,2,38,12,3,0,1,9,9    ,7,0,2,2,1,13,0,0
5/16,火,日本ハム,秋田,18:00,12512,○,6,4,35,12,1,0,1,8,9    ,6,0,6,3,0,14,1,-
