"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-05-13","97.5","-2.2612","6.0221","Shohei Ohtani",489149,660271,"walk","ball",,,,,"11","Logan Morrison walks.  ","R","L","R","LAA","MIN","B","null","null",3,2,2018,"-0.5908","1.2068","-0.8539","4.1056","null","null","null",1,7,"Top","null","null",,,455117,,"180513_222150","5.1434","-141.9251","-2.4352","-9.1327","31.2652","-15.5050","3.6042","1.6767","null","null","null","97.7570","1986","6.3320",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.1677","null","null","0.70",1,0,0,"null",50,"9","4-Seam Fastball",1,0,0,1,0,1,0,1,"Strategic","Standard"
"FF","2018-05-13","98.0","-2.2501","5.9640","Shohei Ohtani",489149,660271,"null","foul",,,,,"9","null","R","L","R","LAA","MIN","S","null","null",3,2,2018,"-0.6269","1.3755","0.4709","1.6334","null","null","null",1,7,"Top","null","null",,,455117,,"180513_222051","8.7712","-142.2369","-9.3368","-10.4890","32.3288","-11.6279","3.3542","1.4265","null","null","null","97.7840","2304","6.2900",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.2095","null","null","null","null","null","null","null",50,"8","4-Seam Fastball",1,0,0,1,0,1,0,1,"Strategic","Standard"
"CU","2018-05-13","74.9","-2.0020","6.2668","Shohei Ohtani",489149,660271,"null","foul",,,,,"2","null","R","L","R","LAA","MIN","S","null","null",3,2,2018,"1.0408","-1.0833","-0.1675","3.0883","null","null","null",1,7,"Top","null","null",,,455117,,"180513_222019","1.9497","-109.1041","2.5545","7.9769","19.8044","-41.5227","3.3542","1.4265","6","63.8","-29.8692","75.1560","2295","6.4930",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.0071","null","null","null","null","null","null","null",50,"7","Curveball",1,0,0,1,0,1,0,1,"Strategic","Standard"
"FS","2018-05-13","87.1","-2.0766","6.2179","Shohei Ohtani",489149,660271,"null","ball",,,,,"14","null","R","L","R","LAA","MIN","B","null","null",2,2,2018,"-0.3247","0.5461","1.4150","1.1875","null","null","null",1,7,"Top","null","null",,,455117,,"180513_221954","8.9597","-126.4709","-6.9754","-5.1358","23.7268","-25.2712","3.6270","1.6995","null","null","null","86.6520","1301","5.9450",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.5550","null","null","null","null","null","null","null",50,"6","Split Finger",1,0,0,1,0,1,0,1,"Strategic","Standard"
"FS","2018-05-13","87.9","-2.0916","6.2087","Shohei Ohtani",489149,660271,"null","ball",,,,,"14","null","R","L","R","LAA","MIN","B","null","null",1,2,2018,"-0.3269","0.5580","0.9628","1.3462","null","null","null",1,7,"Top","null","null",,,455117,,"180513_221929","7.9931","-127.6905","-6.7778","-5.0458","24.0104","-25.0689","3.5133","1.6540","null","null","null","87.4490","1335","5.9050",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.5947","null","null","null","null","null","null","null",50,"5","Split Finger",1,0,0,1,0,1,0,1,"Strategic","Standard"
"FF","2018-05-13","98.4","-2.3200","6.0861","Shohei Ohtani",489149,660271,"null","foul",,,,,"3","null","R","L","R","LAA","MIN","S","null","null",1,2,2018,"-0.3986","1.2489","0.4881","3.3213","null","null","null",1,7,"Top","null","null",,,455117,,"180513_221900","8.5511","-143.0976","-4.9685","-7.3530","30.8721","-14.0416","3.3542","1.4265","null","null","null","98.7740","2075","6.3870",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.1127","null","null","null","null","null","null","null",50,"4","4-Seam Fastball",1,0,0,1,0,1,0,1,"Strategic","Standard"
"FS","2018-05-13","86.1","-2.0973","6.1542","Shohei Ohtani",489149,660271,"null","foul",,,,,"5","null","R","L","R","LAA","MIN","S","null","null",1,1,2018,"-0.4608","0.6297","0.2261","2.1271","null","null","null",1,7,"Top","null","null",,,455117,,"180513_221833","6.4426","-125.3068","-4.6283","-6.0813","23.7272","-24.8592","3.3542","1.4265","4","64.9","-30.8344","86.2950","1210","6.2650",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.2345","null","null","null","null","null","null","null",50,"3","Split Finger",1,0,0,1,0,1,0,1,"Strategic","Standard"
"CU","2018-05-13","72.6","-1.8587","6.2978","Shohei Ohtani",489149,660271,"null","foul_tip",,,,,"4","null","R","L","R","LAA","MIN","S","null","null",1,0,2018,"0.7116","-1.2077","-0.3938","2.0988","null","null","null",1,7,"Top","null","null",,,455117,,"180513_221812","1.7192","-105.7334","1.0124","5.0657","17.1907","-41.6171","3.3542","1.4265","null","null","null","72.8120","2326","6.2990",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.2003","null","null","null","null","null","null","null",50,"2","Curveball",1,0,0,1,0,1,0,1,"Strategic","Standard"
"CU","2018-05-13","74.7","-1.9381","6.2795","Shohei Ohtani",489149,660271,"null","ball",,,,,"11","null","R","L","R","LAA","MIN","B","null","null",0,0,2018,"0.6099","-1.1681","-1.0426","3.1077","null","null","null",1,7,"Top","null","null",,,455117,,"180513_221745","0.7724","-108.7108","2.7032","4.7039","18.7328","-42.1158","3.5133","1.6085","null","null","null","74.8100","2356","6.3270",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.1727","null","null","null","null","null","null","null",50,"1","Curveball",1,0,0,1,0,1,0,1,"Strategic","Standard"
"SL","2018-05-13","80.9","-2.4201","5.9284","Shohei Ohtani",641598,660271,"field_out","hit_into_play",,,,,"6","Mitch Garver pops out to first baseman Luis Valbuena in foul territory.  ","R","R","R","LAA","MIN","X",3,"popup",1,1,2018,"1.2741","0.1745","0.7741","2.4677","null","null","null",0,7,"Top","174.43","165.53",,,455117,,"180513_221715","4.7035","-117.7216","-1.4509","10.9525","20.5755","-30.5218","3.5913","1.3612","140","58.5","50.1240","80.7540","2309","6.0130",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.4869","0.090","0.053","0.00",1,0,0,1,49,"3","Slider",1,0,0,1,0,1,0,1,"Standard","Standard"
