"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FS","2018-05-27","83.6","-2.3570","5.1555","Masahiro Tanaka",472528,547888,"field_out","hit_into_play",,,,,"7","Luis Valbuena flies out to right fielder Giancarlo Stanton.  ","R","L","R","NYY","LAA","X",9,"fly_ball",0,0,2018,"-0.2050","0.5971","-0.3648","2.0575","null","null","null",2,6,"Top","179.41","91.26",,,596142,,"180527_192956","4.9049","-121.5676","-1.8390","-2.9156","23.2606","-26.3158","3.3010","1.5040","331","99.7","38.7190","82.4620","2589","5.5010",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"54.9977","0.218","0.422","0.00",1,0,0,5,48,"1","Split Finger",3,1,1,3,1,3,1,3,"Infield shift","Standard"
"FS","2018-05-27","88.7","-2.1560","5.3479","Masahiro Tanaka",660271,547888,"strikeout","swinging_strike",,,,,"14","Shohei Ohtani strikes out swinging.  ","R","L","R","NYY","LAA","S",2,"null",1,2,2018,"-0.9281","0.4989","0.0548","1.4804","null","null","null",1,6,"Top","null","null",,,596142,,"180527_192929","7.1949","-129.0077","-4.4442","-11.4890","22.7417","-26.1102","3.5490","1.6270","null","null","null","88.1530","1538","5.6340",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"54.8636","null","null","0.00",1,0,0,"null",47,"4","Split Finger",3,1,1,3,1,3,1,3,"Infield shift","Standard"
"FF","2018-05-27","93.0","-2.3180","5.0929","Masahiro Tanaka",660271,547888,"null","called_strike",,,,,"13","null","R","L","R","NYY","LAA","S","null","null",1,1,2018,"-1.0315","1.3865","-0.8755","1.7496","null","null","null",1,6,"Top","null","null",,,596142,,"180527_192909","5.8460","-135.2552","-5.7486","-13.6538","27.0507","-14.4677","3.5490","1.6270","null","null","null","92.4010","2308","5.7750",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"54.7235","null","null","null","null","null","null","null",47,"3","4-Seam Fastball",3,1,1,3,1,3,1,3,"Infield shift","Standard"
"SL","2018-05-27","82.9","-2.4380","5.2115","Masahiro Tanaka",660271,547888,"null","foul_tip",,,,,"4","null","R","L","R","NYY","LAA","S","null","null",1,0,2018,"0.1906","0.3180","-0.6303","2.4760","null","null","null",1,6,"Top","null","null",,,596142,,"180527_192853","3.7144","-120.7021","-0.4770","1.2148","19.8381","-29.2708","3.5490","1.6270","null","null","null","82.1980","2610","5.4390",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"55.0595","null","null","null","null","null","null","null",47,"2","Slider",3,1,1,3,1,3,1,3,"Infield shift","Standard"
"FF","2018-05-27","93.1","-2.2573","5.1658","Masahiro Tanaka",660271,547888,"null","ball",,,,,"14","null","R","L","R","NYY","LAA","B","null","null",0,0,2018,"-1.0762","1.4630","0.4122","1.5006","null","null","null",1,6,"Top","null","null",,,596142,,"180527_192838","9.0944","-135.1429","-6.7206","-14.9684","28.9568","-13.2659","3.5490","1.6270","null","null","null","92.3730","2321","5.9520",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"54.5465","null","null","null","null","null","null","null",47,"1","4-Seam Fastball",3,1,1,3,1,3,1,3,"Infield shift","Standard"
"SL","2018-05-27","82.9","-2.3305","5.1833","Masahiro Tanaka",592743,547888,"home_run","hit_into_play_score",,,,,"5","Andrelton Simmons homers (4) on a fly ball to left field.  ","R","R","R","NYY","LAA","X","null","fly_ball",2,2,2018,"0.7109","-0.3851","-0.1480","2.4814","null","null","null",1,6,"Top","19.16","78.15",,,596142,,"180527_192751","3.5746","-120.3118","1.1714","5.7685","28.0601","-36.3348","3.4670","1.5890","378","101.4","22.7920","80.8310","2535","5.4880",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"55.0106","0.759","1.178","2.00",1,0,3,6,46,"5","Slider",3,0,0,3,0,3,0,3,"Standard","Standard"
"SL","2018-05-27","81.5","-1.9446","5.4756","Masahiro Tanaka",592743,547888,"null","ball",,,,,"14","null","R","R","R","NYY","LAA","B","null","null",1,2,2018,"0.0104","-0.4612","0.8490","-0.3059","null","null","null",1,6,"Top","null","null",,,596142,,"180527_192716","6.1408","-118.2209","-5.3057","-1.2573","25.9968","-35.4546","3.4670","1.5890","null","null","null","79.5520","2632","5.4640",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"55.0344","null","null","null","null","null","null","null",46,"4","Slider",3,0,0,3,0,3,0,3,"Standard","Standard"
"SL","2018-05-27","84.0","-2.1308","5.3609","Masahiro Tanaka",592743,547888,"null","foul",,,,,"13","null","R","R","R","NYY","LAA","S","null","null",1,1,2018,"0.0848","0.3087","-0.1936","1.1375","null","null","null",1,6,"Top","null","null",,,596142,,"180527_192647","4.2367","-121.8334","-3.7048","-0.2422","30.0271","-28.6725","3.4670","1.5890","6","55.3","-11.7756","81.5390","2455","5.3920",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"55.1060","null","null","null","null","null","null","null",46,"3","Slider",3,0,0,3,0,3,0,3,"Standard","Standard"
"FF","2018-05-27","91.0","-2.1412","5.3939","Masahiro Tanaka",592743,547888,"null","ball",,,,,"11","null","R","R","R","NYY","LAA","B","null","null",0,1,2018,"-0.7707","1.6144","-0.3517","4.1411","null","null","null",1,6,"Top","null","null",,,596142,,"180527_192623","6.0483","-132.1979","-0.5356","-10.2521","32.2434","-13.9336","3.4670","1.5890","null","null","null","89.5610","2235","5.8230",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"54.6751","null","null","null","null","null","null","null",46,"2","4-Seam Fastball",3,0,0,3,0,3,0,3,"Standard","Standard"
"SL","2018-05-27","82.9","-2.2433","5.3030","Masahiro Tanaka",592743,547888,"null","called_strike",,,,,"5","null","R","R","R","NYY","LAA","S","null","null",0,0,2018,"0.2378","0.7338","-0.1006","2.7197","null","null","null",1,6,"Top","null","null",,,596142,,"180527_192604","4.3657","-120.4053","-0.6892","1.2436","26.8037","-25.4862","3.4670","1.5890","null","null","null","80.9670","2443","5.4090",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"55.0889","null","null","null","null","null","null","null",46,"1","Slider",3,0,0,3,0,3,0,3,"Standard","Standard"
